env,Type_carbon,atoms,weight,,,,,
ArabinoseD,Monosaccharide,5,150.13,,,,,
ArabinoseL,Monosaccharide,5,150.13,,,,,
Xylose,Monosaccharide,5,150.13,,,,,
Ribose,Monosaccharide,5,150.13,,,,,
Rhamnose,Monosaccharide,6,164.16,,,,,
Fructose,Monosaccharide,6,180.16,,,,,
Galactose,Monosaccharide,6,180.16,,,,,
Glucose,Monosaccharide,6,180.16,,,,,
Glucose01,Lowconc,6,180.16,,,,,
Mannose,Monosaccharide,6,180.16,,,,,
GlcNAc,Monosaccharide,8,221.21,,,,,
Acetate,TCA,2,59.04,,,,,
Pyruvate,TCA,3,87.05,,,,,
Pyruvate01,Lowconc,3,87.05,,,,,
Fumarate,TCA,4,114.06,,,,,
Succinate,TCA,4,116.07,,,,,
Citrate,TCA,6,189.1,,,,,
Glycerol,Sugaralcohol,3,92.09,,,,,
Glycerol01,Lowconc,3,92.09,,,,,
Mannitol,Sugaralcohol,6,182.17,,,,,
Sorbitol,Sugaralcohol,6,182.17,,,,,
Alanine,Aminoacid,3,89.09,,,,,
Serine,Aminoacid,3,105.09,,,,,
Proline,Aminoacid,5,115.13,,,,,
Proline01,Lowconc,5,115.13,,,,,
Glutamine,Aminoacid,5,146.14,,,,,
Isoleucine,Aminoacid,6,131.17,,,,,
Arginine,Aminoacid,6,174.2,,,,,
Trehalose,Disaccharide,12,342.3,,,,,
Cellobiose,Disaccharide,12,342.3,,,,,
Maltose,Disaccharide,12,342.3,,,,,
Sucrose,Disaccharide,12,342.3,,,,,
Sucrose01,Lowconc,12,342.3,,,,,
Lactose,Disaccharide,12,342.3,,,,,
Raffinose,Trisaccharide,18,504.42,,,,,
Melezitose,Trisaccharide,18,504.44,,,,,
Arabinogalactan,Arabinogalactan,0,0,,,,,
Uridine,Uridine,9,244.2,,,,,
Mix,Mix,0,0,,,,,
Water,Water,0,0,,,,,
